id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,talk,,center,あの後,,,,,,,,0,
2,talk,,center,皆でどうにかやっつけた\nフリモメンさんを運営さんの\n所へ連れて行きました,,,,,,,,0,
3,talk,,center,二日間のメンテナンスの結果\n無事にウィルスは駆除され、\n元のフリモメンさんに\n戻ったみたい,,,,,,,,0,
4,wipe_out,,,,,,,,,,,0,
5,close_window,,,,,,,,,,,1,
6,epilogue_step,,,,,,,,,,,1,
7,wipe_in,,,,,,,,,,,0,
8,talk,,center,幸いなことにけが人も出ず、\nほぼ未遂に終わった事から、\n厳重注意で済んでいました,,,,,,,,0,
9,talk,,center,皆無事で本当に良かったー,,,,,,,,0,
10,talk,,center,ただ、フリモメンさん自身は\nすごく反省して以前にも増して\nより熱く仕事へ取り組むように\nなったんだとか,,,,,,,,0,
11,wipe_out,,,,,,,,,,,0,
12,close_window,,,,,,,,,,,1,
13,epilogue_step,,,,,,,,,,,1,
14,wipe_in,,,,,,,,,,,0,
15,talk,,center,それで、事件もこれで一段落...\nではあったんだけど、,,,,,,,,0,
16,talk,,center,途中でうやむやに\nなってしまった事もあり、\n大会の方向性自体は\n悪くなかったということで、,,,,,,,,0,
17,talk,,center,体制を整えて、改めて\n第一回\n「ボイスロイド頂上決定戦」\nが開催されることとなり...,,,,,,,,0,
18,wipe_out,,,,,,,,,,,0,
19,close_window,,,,,,,,,,,1,
20,epilogue_step,,,,,,,,,,,1,
21,wipe_in,,,,,,,,,,,0,
22,talk,,center,こうして再び\n相まみえる事になったわけ,,,,,,,,0,
23,epilogue_step,,,,,,,,,,,1,
24,talk,,center,気になる結果は、\nまた別の機会に！,,,,,,,,0,
25,talk,,center,それじゃあ、またね！,,,,,,,,0,
26,scene_change,,,Title,,,,,,,,0,
