id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,talk,,center,あの後,,,,,,,,0,yukari-122
2,talk,,center,皆でボコボコにしてふん縛った\nフリモメンを運営さんの所へ\n連れて行きました,,,,,,,,0,yukari-123
3,talk,,center,二日に渡るメンテナンスの結果\n無事にウィルスは駆除され、\n元のフリモメンに\n戻ったそうです,,,,,,,,0,yukari-124
4,wipe_out,,,,,,,,,,,0,
5,close_window,,,,,,,,,,,1,
6,epilogue_step,,,,,,,,,,,1,
7,wipe_in,,,,,,,,,,,0,
8,talk,,center,幸いにも死傷者等は出ず、\n基本的に未遂に終わったため、\n厳重注意で済んでいました,,,,,,,,0,yukari-125
9,talk,,center,まぁこれは私達のおかげですね\nえへん,,,,,,,,0,yukari-126
10,talk,,center,ただ、彼自身は心の弱さに\n付け込まれたことを深く悔やみ\nより熱く仕事へ取り組むように\nなったんだとか,,,,,,,,0,yukari-127
11,wipe_out,,,,,,,,,,,0,
12,close_window,,,,,,,,,,,1,
13,epilogue_step,,,,,,,,,,,1,
14,wipe_in,,,,,,,,,,,0,
15,talk,,center,でまぁ、事件もこれで一段落...\nではあったんですが、,,,,,,,,0,yukari-128
16,talk,,center,途中でうやむやに\nなってしまった事もあり、\n大会の方向性自体は\n悪くなかったということで、,,,,,,,,0,yukari-129
17,talk,,center,体制を整えて、改めて\n第一回\n「ボイスロイド頂上決定戦」\nが開催されることとなり...,,,,,,,,0,yukari-130
18,wipe_out,,,,,,,,,,,0,
19,close_window,,,,,,,,,,,1,
20,epilogue_step,,,,,,,,,,,1,
21,wipe_in,,,,,,,,,,,0,
22,talk,,center,こうして再び\n相まみえる事になったわけです,,,,,,,,0,yukari-131
23,epilogue_step,,,,,,,,,,,1,
24,talk,,center,まぁ、\nその結果は、また別の機会に,,,,,,,,0,yukari-132
25,talk,,center,それでは,,,,,,,,0,yukari-133
26,scene_change,,,Title,,,,,,,,0,
