id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,talk,,center,とある会議室での出来事,,,,,,,,0,
2,instantiate,mob1,right,,,,,,,,,1,
3,talk,mob1,right,...で、あるからして、\n昨今のボイスロイド多様化を\n受けて、我々も改めて方針を検討し直すべきと考えます。,,,,,,,,0,
4,instantiate,mob2,left,,,,,,,,,1,
5,talk,mob2,left,しっかし、方言や話し方の差異などの個性付けはあらかたやり尽くしちゃった感じしますねぇ,,,,,,,,0,
6,instantiate,mob3,left,,,,,,,,,1,
7,talk,mob3,left,各自の個性を押し出して行くための新しい要素が見つかればもう一段広げた売出しが...,,,,,,,,0,
8,instantiate,frimomen,right,,,,,,,,,1,
9,play_bgm,,,frimomen,,,,,,,,1,
10,talk,frimomen,anger_right,俺に考えがある!!!!,,,,,,,,0,
11,talk,mob2,left,おわーっ！\nフリモメンさん！,,,,,,,,0,
12,talk,frimomen,right,失礼。\n少々取り乱してしまった,,,,,,,,0,
13,talk,frimomen,right,画面の前のみんな！\n俺の名はフリモメン。\n知らない子は今すぐググるんだぞ！,,,,,,,,0,
14,talk,mob3,left,とくに撮影などはしておりませんが,,,,,,,,0,
15,talk,mob1,right,それより、考えとは一体なんでしょう？,,,,,,,,0,
16,talk,frimomen,right,,,,,,,,,0,
17,talk,frimomen,right,,,,,,,,,0,
18,talk,frimomen,right,,,,,,,,,0,
19,talk,frimomen,right,,,,,,,,,0,
20,talk,frimomen,right,,,,,,,,,0,
