id,type,text,eye_brows,eye,mouse,option1,option2,option3,play_next
1,instantiate,kiritan,,,,,,,1
2,right,あいや待たれい！,,,,,,,0
3,instantiate,yukari,,,,,,,1
4,instantiate,maki,,,,,,,1
5,switch,yukari,,,,,,,1
6,left,おや、きりたん,,,,,,,0
7,switch,maki,,,,,,,1
8,left,やっほー,,,,,,,0
9,play_bgm,boss,,,,,,,1
10,right,まだテキスト考えていないので、とにかく勝負です！,,,,,,,0
11,left,よしきた！,,,,,,,0
12,switch,yukari,,,,,,,1
13,left,いざ勝負！,,,,,,,0
14,out,yukari,,,,,,,1
15,out,maki,,,,,,,1
16,out,kiritan,,,,,,,1
17,end,,,,,,,,0
