id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next
1,instantiate,yukari,left,,,,,,,,,1
2,instantiate,maki,left,,,,,,,,,1
3,instantiate,akane,right,,,,,,,,,1
4,talk,akane,right,茜ちゃんのテストやで,,,,,,,,0
5,instantiate,aoi,right,,,,,,,,,1
6,talk,aoi,right,葵ちゃんもこれから！,,,,,,,,0
7,talk,akane,right,にっこり,,normal,smile,wa,,,,0
8,talk,akane,right,にしし,,anger,half_open,nisisi,,,,0
9,talk,akane,right,む,,sad,close,mu,,,,0
10,talk,akane,right,きゅー,,sad,guruguru,triangle,,,,0
11,talk,akane,right,うむ,,normal,close,omega,,,,0
12,out,yukari,left,,,,,,,,,1
13,out,maki,left,,,,,,,,,1
14,out,akane,right,,,,,,,,,1
15,out,aoi,right,,,,,,,,,1
16,end,,,,,,,,,,,0
