id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next
1,instantiate,yukari,left,,,,,,,,,1
2,instantiate,maki,left,,,normal,normal,omega,,,,1
3,instantiate,akane,right,,,,,,,,,1
4,instantiate,aoi,right,,,normal,normal,mu,,,,1
5,talk,akane,right,いやー、負けた負けた。完敗や,,normal,smile,laugh,,,,0
6,talk,yukari,left,わかってはいましたが、\nやはりお二人は一緒でしたか,,normal,normal,omega,,,,0
7,animation_flag,Stage2MovieMap,,isQuake,,,,,,,,1
8,talk,akane,right,ウチ達は二人で一つみたいなモンやからな,,normal,smile,nisisi,,,,0
9,talk,akane,right,わ、わわ、何や、地震か?!,,anger,normal,wa,,,,0
10,talk,maki,left,！！ まずい、地面が！,,anger,normal,laugh,,,,0
11,animation_flag,Stage2MovieMap,,isFall,,,,,,,,1
12,out,yukari,left,,,,,,,,,1
13,talk,yukari,left,おわーっ!!!,,normal,close,laugh,,,,0
14,out,aoi,right,,,,,,,,,1
15,talk,aoi,right,お姉ちゃーーーん！！,,anger,normal,nisisi,,,,0
16,talk,akane,right,あ、あおいーーーー！！,,anger,normal,laugh,,,,0
17,talk,maki,right,ゆかりーーーーん！！,,normal,smile,laugh,,,,0
18,out,maki,left,,,,,,,,,1
19,out,akane,right,,,,,,,,,1
20,start_boss_battle,,,stage2_boss_result,,,,,,,,0
