id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,left_aoi,left,,,normal,normal,mu,,,,1,
2,instantiate,yukari,left,,,normal,normal,omega,,,,1,
3,instantiate,itako,right,,,sad,guruguru,cat,spirit_sad,,,1,
4,talk,itako,right,やられましたわー!!!,,sad,guruguru,cat,spirit_sad,,,0,
5,talk,itako,right,煮るなり焼くなり\n好きにして下さいまし,,sad,close,triangle,spirit_sad,,,0,
6,talk,yukari,left,別に取って食おうって\nわけじゃないんですがねぇ,,sad,close,laugh,spirit_sad,,,0,
7,talk,yukari,left,今はただはぐれた仲間と\n合流するために\n歩き回ってるだけです,,normal,normal,omega,,,,0,
8,talk,left_aoi,left,あと、\n私達は別に協力関係ってわけでもないです,,anger,half_open,mu,,,,0,
9,talk,itako,right,まあ！あたしったら\nとんだ勘違いを...,,anger,white,cat,spirit_normal,,,0,
10,talk,yukari,left,そんなわけで迷子中なんですが、地上に戻れそうな道を\n知りませんか？,,sad,normal,laugh,,,,0,
11,talk,itako,right,それが、実はあたしも\n同じような状況でして...,,sad,white_tears,omega,spirit_sad,,,0,
12,talk,itako,right,ちょっと動物霊を降ろして知ってる子がいないか聞いてみますわね,,normal,normal,omega,spirit_normal,,,0,
13,talk,yukari,left,おお！さすがイタコ！,,anger,normal,laugh,,,,0,
14,talk,itako,right,むむむむ....,,anger,close,cat,nothing,,,0,
15,talk,itako,right,あっちの方に...\n人でも登れるくらいの...\n緩やかな崖がある...にゃ,,anger,half_open,cat,nothing,,,0,
16,talk,yukari,left,霊能力使ってる時\n語尾が変わるって話、\n本当だったんですね,,normal,normal,mu,,,,0,
17,talk,left_aoi,left,あっちなら\nまだ行ってないので、\nたしかに合ってそうです,,normal,normal,cat,,,,0,
18,talk,itako,right,...ふう！どうでしたか？,,normal,normal,omega,spirit_normal,,,0,
19,talk,yukari,left,あっちの方だそうです！\nさすがですね！,,normal,smile,laugh,,,,0,
20,talk,left_aoi,left,さっそく行きましょう、\nお姉ちゃんが心配してる,,anger,half_open,mu,,,,0,
21,talk,yukari,left,そうですね\nイタコさんもご一緒に\nどうですか？,,normal,normal,laugh,,,,0,
22,talk,itako,right,有り難い申し出ですが、\nあたしはちょっと休んでから\n向かうことにしますわ,,sad,smile,cat,spirit_normal,,,0,
23,talk,itako,right,次またお会いすることも\nあるかもしれませんし...ね,,normal,half_open,omega,spirit_anger,,,0,
24,talk,yukari,left,？\nまぁ、そういうことなら\n先に行きましょうか,,normal,normal,omega,,,,0,
25,talk,left_aoi,left,急ぎましょう\n待っててねお姉ちゃん！,,normal,close,cat,,,,0,
26,out,left_aoi,left,,,,,,,,,1,
27,out,yukari,left,,,,,,,,,1,
28,out,itako,right,,,,,,,,,1,
29,scene_change,,,stage4-1,,,,,,,,0,
