id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,yukari,left,,,,,,,,,1,
2,instantiate,left_aoi,left,,,,,,,,,1,
3,talk,yukari,left,よっしゃー！\nなんとか出られましたね！,,anger,cross,laugh,,,,0,yukari-51
4,talk,left_aoi,left,お姉ちゃんを探さなくちゃ！,,anger,normal,laugh,,,,0,aoi-24
5,instantiate,right_maki,right,,,,,,,,,1,
6,instantiate,akane,right,,,,,,,,,1,
7,talk,akane,right,あおいーーーー！！,,anger,normal,gaa,,,,0,akane-27
8,talk,left_aoi,left,お姉ちゃん！\nお姉ちゃーん！！,,normal,smile,laugh,,,,0,aoi-25
9,talk,right_maki,right,いやー、無事で良かった,,normal,smile,laugh,,,,0,maki-33
10,talk,yukari,left,こっちにも感動のハグを\nくれたって良いんですよ？,,anger,normal,laugh,,,,0,yukari-52
11,talk,right_maki,right,あんまり\n心配してなかったからなぁ,,sad,normal,laugh,,,,0,maki-34
12,talk,yukari,left,信頼の現れと\n受け取っておきましょう,,normal,close,omega,,,,0,yukari-53
13,scene_change,,,Stage4-Movie2,unreload,,,,,,,0,
