id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,akane,right,,,,,,,,,1,
2,instantiate,aoi,right,,,,,,,,,1,
3,talk,akane,right,いやー、二人にはすっかり\n世話になってもうたな,,normal,smile,laugh,,,,0,akane-28
4,instantiate,yukari,left,,,,,,,,,1,
5,instantiate,maki,left,,,,,,,,,1,
6,talk,yukari,left,いやいや、\n困った時はお互い様ですよ,,normal,normal,laugh,,,,0,yukari-54
7,talk,maki,left,私達の方もこうして\n合流できたわけだからね,,normal,smile,laugh,,,,0,maki-35
8,talk,akane,right,なんのお礼もできなくて\nすまんけど、せめて良い\n結果になることを祈っとるで,,sad,smile,nisisi,,,,0,akane-29
9,talk,yukari,left,リベンジは良いんですか、\n葵ちゃん？,,normal,half_open,nisisi,,,,0,yukari-55
10,talk,aoi,right,...いじわるですね\n今更蒸し返しませんよ,,sad,close,mu,,,,0,aoi-26
11,talk,aoi,right,この先も頑張って下さい、\n応援しています,,normal,normal,cat,,,,0,aoi-27
12,talk,maki,left,ありがとう！\nふたりも気をつけてね,,normal,smile,laugh,,,,0,maki-36
13,talk,akane,right,ほな帰ろか、葵ちゃん,,normal,smile,laugh,,,,0,akane-30
14,talk,aoi,right,うん！お姉ちゃん！,,normal,smile,laugh,,,,0,aoi-28
15,talk,yukari,left,それでは私達は\n先を急ぎましょう,,normal,normal,laugh,,,,0,yukari-56
16,talk,maki,left,そうだね！,,anger,normal,laugh,,,,0,maki-37
17,out,yukari,left,,,,,,,,,1,
18,out,maki,left,,,,,,,,,1,
19,out,akane,right,,,,,,,,,1,
20,out,aoi,right,,,,,,,,,1,
21,scene_change,,,Stage5-1,,,,,,,,0,
