id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,talk,,center,一方その頃,,,,,,,,0,
2,instantiate,maki,left,,,,,,,,,1,
3,instantiate,left_akane,left,,,,,,,,,1,
4,talk,left_akane,left,はわわわわ、葵、葵ー！,,,,,,,,0,
5,talk,maki,left,ゆかりーん！聞こえるー？！,,,,,,,,0,
6,talk,maki,left,...,,,,,,,,0,
7,talk,maki,left,ダメかー、声は届きそうもないや,,,,,,,,0,
8,talk,maki,left,茜ちゃん、地図持ってる？今朝配られたやつ,,,,,,,,0,
9,talk,left_akane,left,え？うん、持っとるけど...,,,,,,,,0,
10,talk,maki,left,今いるのがここで、この横穴に落ちたんだと思うんだよね,,,,,,,,0,
11,talk,left_akane,left,そういえば、いくつかルートがあるって話やったな,,,,,,,,0,
12,talk,maki,left,ここからそんなに遠くないところに横穴の出口があるから、そこまで行って二人を迎えに行こう,,,,,,,,0,
13,talk,left_akane,left,！！せやな、そうしよう！,,,,,,,,0,
14,talk,left_akane,left,あ、でも...,,,,,,,,0,
15,talk,left_akane,left,ウチ、さっきの戦いでもう魔力がスッカラカンで、道中なんか出てもなんもできんかもしれん...,,,,,,,,0,
16,talk,maki,left,そこは私に任せて！なんでも蹴散らしちゃう！,,,,,,,,0,
17,talk,left_akane,left,頼もしいなぁ！,,,,,,,,0,
18,talk,maki,left,そうと決まったらさっそく行こう！,,,,,,,,0,
19,talk,left_akane,left,おー！,,,,,,,,0,
20,out,maki,left,,,,,,,,,1,
21,out,left_akane,left,,,,,,,,,1,
22,end,,,,,,,,,,,0,
