id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,frimomen,right,,,,,,,,,1,
2,talk,frimomen,right,やあ、よく来たね,,,,,,,,0,
3,instantiate,yukari,left,,,,,,,,,1,
4,instantiate,maki,left,,,,,,,,,1,
5,talk,yukari,left,表彰式ってわりには簡素な場所だね？,,,,,,,,0,
6,talk,maki,left,会場は別なんですかねぇ,,,,,,,,0,
7,talk,frimomen,right,ああ、その前に一つ、昔話をさせてもらえるかな,,,,,,,,0,
8,talk,maki,left,？,,,,,,,,0,
9,talk,frimomen,right,とある組織の、とあるマスコットキャラクターの話だ,,,,,,,,0,
10,talk,frimomen,right,彼は長きに渡り、様々な手段で組織を支えてきた,,,,,,,,0,
11,talk,frimomen,right,広報活動だったり、マルチメディア展開だったりな,,,,,,,,0,
12,talk,frimomen,right,そうこうしているうちに組織は大きくなり、キャラクターの数も増えてきた,,,,,,,,0,
13,talk,frimomen,right,キャラクターを題材とした製品も生まれ、シリーズ化してシェアを広げていった,,,,,,,,0,
14,talk,frimomen,right,そう、君たちボイスロイドの事だ,,,,,,,,0,
15,talk,maki,left,...,,,,,,,,0,
16,talk,frimomen,right,ピンとこないか、それでは完結に述べよう,,,,,,,,0,
17,stop_bgm,,,,,,,,,,,0,
18,talk,frimomen,right,最古参とも言える俺が、未だにボイスロイド化していないのはおかしいと思わないか？,,,,,,,,0,
19,talk,maki,left,へ？,,,,,,,,0,
20,talk,yukari,left,はい？,,,,,,,,0,
21,talk,frimomen,right,おっと、これは2021年時点での話だ,,,,,,,,0,
22,talk,frimomen,right,来年にはもうなってるだろうから、注意書きしておかないとな,,,,,,,,0,
23,talk,yukari,left,無用な心配ですよ,,,,,,,,0,
24,talk,frimomen,right,ともかく、それから俺は考えた,,,,,,,,0,
25,talk,frimomen,right,なぜ、なぜこれまでずっと活躍してきたこの俺が製品化されないのか,,,,,,,,0,
26,talk,frimomen,right,どうしたらこの状況を打開し、フリモメンのシェア率を上げる事ができるのか,,,,,,,,0,
27,talk,frimomen,right,考えて考えて、一つの結論に辿り着いた,,,,,,,,0,
28,play_bgm,,,boss_frimomen,,,,,,,,1,
29,talk,frimomen,right,全員いなくなればいい,,,,,,,,0,
30,talk,frimomen,right,そして、俺が唯一のボイスロイドとして君臨すれば良い、ということにな,,,,,,,,0,
31,talk,frimomen,right,この大会は、君たちボイスロイドが潰し合い、疲弊した所を始末するための舞台装置だったというわけさ,,,,,,,,0,
32,talk,maki,left,信じられない...そんな事のために、私達を,,,,,,,,0,
33,talk,frimomen,right,戦えそうな奴らはだいたい君たちが倒してくれたそうじゃないか、感謝しているよ,,,,,,,,0,
34,talk,maki,left,きさま...,,,,,,,,0,
35,talk,yukari,left,熱くなってもしょうがないですよ、今できる事をしましょう,,,,,,,,0,
36,talk,maki,left,ゆかりん...,,,,,,,,0,
37,talk,maki,left,疲れてると思うけど、もう一度協力してくれる？,,,,,,,,0,
38,talk,yukari,left,もちろんです、任せて下さい,,,,,,,,0,
39,talk,frimomen,right,負けたほうもまだ動けるとは少々誤算だが、まぁいい,,,,,,,,0,
40,talk,frimomen,right,まずは君等二人を片付け、その後他の連中を始末しよう,,,,,,,,0,
41,talk,frimomen,right,まとめてかかってくるがいい！,,,,,,,,0,
42,talk,maki,left,あいつをここで止めよう！,,,,,,,,0,
43,talk,yukari,left,ええ！いきますよ！,,,,,,,,0,
44,out,frimomen,right,,,,,,,,,1,
45,out,maki,left,,,,,,,,,1,
46,out,yukari,left,,,,,,,,,1,
47,start_boss_battle,,,stage6_boss_frimomen_result,,,,,,,,0,
