id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,frimomen,right,,,,,,,,,1,
2,talk,frimomen,right,ぐああああああ！！！！,frimomen,,,,,,,0,
3,talk,frimomen,right,バカな！\nバカなあああああ！！！！,frimomen,,,,,,,0,
4,instantiate,yukari,left,,,,,,,,,1,
5,instantiate,maki,left,,,anger,normal,o,,,,1,
6,talk,yukari,left,ふー.....\nどうにかなりましたね,,anger,normal,laugh,,,sweat,0,
7,talk,maki,left,しっかり反省してもらうよ！,,anger,normal,gaa,,,,0,
8,talk,frimomen,right,認めん！\n認めんぞおおお！！！！,frimomen,,,,,,,0,
9,talk,frimomen,right,俺は、こんなところで、,frimomen_close,,,,,,,0,
10,talk,frimomen,right,俺は、俺は....！！,frimomen_close,,,,,,,0,
11,talk,frimomen,right,オレ、ハ...ァァァ！！！,frimomen,,,,,,,0,
12,talk,yukari,left,！！,,anger,normal,o,,,,0,
13,talk,maki,left,様子がおかしい！,,anger,normal,gaa,,,,0,
14,talk,frimomen,right,ガアアアアアアッ！！！,frimomen,,,,,,,0,
15,flash,,,,,,,,,,,1,
16,wait,,,1,,,,,,,,0,
17,scene_change,,,stage6-F2,unreload,Stage6-F2,,,,,,0,
