id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,frimomen,right,,frimomen_dark,,,,,,,1,
2,talk,frimomen,right,フー.....,,,,,,,,0,
3,instantiate,yukari,left,,,,,,,,,1,
4,instantiate,maki,left,,,anger,normal,gaa,,,,1,
5,talk,yukari,left,い...一体何が...?!,,anger,white,waxtu,,,,0,
6,talk,maki,left,フリモメンさんが...!,,anger,normal,o,,,,0,
7,talk,frimomen,right,ククク...,,,,,,,,0,
8,talk,frimomen,right,どうやらあいつは\nしくじったか...,,,,,,,,0,
9,talk,maki,left,あいつ...？,,anger,normal,o,,,,0,
10,talk,yukari,left,あなたは一体\n何者なんですか！,,anger,normal,mu,,,,0,
11,talk,frimomen,right,おっと、\n余計なこと言ったかな,,,,,,,,0,
12,talk,frimomen,right,まぁいいか喋っちまっても\n\nどうせ全員殺すんだしな,,,,,,,,0,
13,talk,frimomen,right,ごきげんようお嬢さんがた、\nお察しの通り\nこの体の中身はもうあいつ...\nフリモメンの物じゃあない,,,,,,,,0,
14,talk,maki,left,それじゃあ一体...!,,anger,normal,o,,,,0,
15,talk,frimomen,right,残念ながら名乗る名前を\n持ち合わせていなくてね,,,,,,,,0,
16,talk,frimomen,right,何者か...を表すなら、\nそうだなぁ,,,,,,,,0,
17,talk,frimomen,right,君たちにわかりやすく\n表現すると、\nコンピューターウィルス\nのような物かなぁ,,,,,,,,0,
18,talk,yukari,left,まさかフリモメンを\n乗っ取って...?!,,anger,normal,o,,,sweat,0,
19,talk,frimomen,right,そうそう\nちょっと心の隙を突いたら\n簡単に潜り込めたぜ,,,,,,,,0,
20,talk,maki,left,キミのせいで\nフリモメンさんはこんな事を\nしちゃったんだね！,,anger,normal,gaa,,,,0,
21,talk,frimomen,right,オレはちょこっと後押ししてやっただけなんだがなぁ,,,,,,,,0,
22,talk,frimomen,right,奴は\n力と電脳世界の制御権を得る\nその代わり失敗したら\nオレが肉体を貰う,,,,,,,,0,
23,talk,frimomen,right,Win-Winの関係\nってやつだろ？,,,,,,,,0,
24,talk,yukari,left,そんなことをして、\n一体何が目的なんですか,,anger,half_open,mu,,,nothing,0,
25,stop_bgm,,,,,,,,,,,1,
26,talk,frimomen,right,ウィルスがやることなんて、だいたい想像がつくだろう？,,,,,,,,0,
27,talk,frimomen,right,世界征服さ,,,,,,,,0,
28,play_bgm,,,frimomen2nd_battle1,,,,,,,,1,
29,talk,frimomen,right,生物非生物問わず、世界中を\nオレの支配下に置いてやる！,,,,,,,,0,
30,talk,frimomen,right,まずは手始めに、\nボイスロイドとやらを全員\n食っちまうとするかね！,,,,,,,,0,
31,talk,maki,left,こいつを野放しにしたら、\nみんなが...！,,anger,normal,o,,,,0,
32,talk,yukari,left,それどころか\n世界の危機ってわけですか\n尚更放ってはおけませんね,,sad,half_open,cat,,,sweat,0,
33,talk,maki,left,今ならまだフリモメンさんも助けられるかもしれない！,,anger,normal,laugh,,,,0,
34,talk,yukari,left,連戦でしんどいところですが\n最後にもうひと踏ん張り\nしますか！,,anger,close,omega,,,nothing,0,
35,talk,frimomen,right,いいねぇ、\nますます欲しくなってきた,,,,,,,,0,
36,talk,frimomen,right,まずはあんた達から\n頂くとしよう！,,,,,,,,0,
37,talk,maki,left,いこう！ゆかりん！\nあいつをここで倒す！,,anger,normal,gaa,,,,0,
38,talk,yukari,left,ええ！これ以上\n好きにはさせませんよ！,,anger,normal,laugh,,,,0,
39,out,frimomen,right,,,,,,,,,1,
40,out,maki,left,,,,,,,,,1,
41,out,yukari,left,,,,,,,,,1,
42,start_boss_battle_special,,,stage6_boss_frimomen_second_2,,,,,,,,0,
