id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,frimomen,right,,frimomen_dark,,,,,,,1,
2,instantiate,yukari,left,,,,,,,,,1,
3,instantiate,maki,left,,,,,,,,,1,
4,talk,yukari,left,かっっっった！！！！\n硬すぎますよあいつ！！,,,,,,,,0,
5,talk,maki,left,全然ダメージを\n与えられていない...！！,,,,,,,,0,
6,talk,frimomen,right,無駄無駄ぁ\nそんな火力じゃあ効かないぜ,,,,,,,,0,
7,talk,frimomen,right,そろそろ終わりにするか,,,,,,,,0,
8,talk,yukari,left,くっ...\n攻撃が通らないんじゃあ、どうにも...,,,,,,,,0,
9,talk,,anger_right,その勝負、待ったー!!,,,,,,,,0,kiritan-19
10,talk,yukari,left,！！\nこの声は！,,,,,,,,0,
11,instantiate,kiritan,right,,,,,,,,,1,
12,talk,kiritan,right,話は聞かせてもらいましたよ！,,,,,,,,0,kiritan-20
13,talk,maki,left,きりたん！,,,,,,,,0,
14,talk,yukari,left,どうしてここに？,,,,,,,,0,
15,talk,kiritan,right,どうにか寝首をかけないかと跡をつけていました,,,,,,,,0,kiritan-21
16,talk,frimomen,right,ふん、一人増えたところで何も変わりはしないさ,,,,,,,,0,
17,talk,frimomen,right,三人まとめて...,,,,,,,,0,
18,talk,kiritan,right,どうやら雲行きが怪しかったようなので、,,,,,,,,0,kiritan-22
19,play_bgm,,,frimomen2nd_battle2,,,,,,,,1,
20,talk,kiritan,right,動けそうな人全員連れてきましたよ！！,,,,,,,,0,kiritan-23
21,instantiate,zunko,right,,,,,,,,,1,
22,talk,zunko,right,世界の危機とあっては、黙って見過ごすわけにはいきません！,,,,,,,,0,zunko-12
23,instantiate,left_akane,left,,,,,,,,,1,
24,talk,left_akane,left,友のピンチに颯爽と登場やで！,,,,,,,,0,
25,instantiate,left_aoi,left,,,,,,,,,1,
26,talk,left_aoi,left,こんなところで死なれては困りますから,,,,,,,,0,
27,instantiate,itako,right,,,,,,,,,1,
28,talk,itako,right,はぁ、はぁ...\nやっと追いつきましたわー！,,,,,,,,0,itako-23
29,talk,maki,left,みんな！！,,,,,,,,0,
30,talk,yukari,left,これは百人力ですね！,,,,,,,,0,
31,talk,frimomen,right,おいおい、全員ピンピンしてるじゃねえか\n話が違うぜ,,,,,,,,0,
32,talk,frimomen,right,まぁ...そうだな\n探す手間が省けたな,,,,,,,,0,
33,talk,frimomen,right,全員まとめて食ってやるよ！！,,,,,,,,0,
34,talk,kiritan,right,ゆかりさん！マキさん！,,,,,,,,0,kiritan-24
35,talk,zunko,right,私達は少し離れた所から援護射撃を続けます,,,,,,,,0,zunko-13
36,talk,itako,right,その隙にやっちゃって下さいまし！,,,,,,,,0,itako-24
37,talk,left_akane,left,しっかり休んだからウチ達の魔力も回復済みやで！,,,,,,,,0,
38,talk,left_aoi,left,今度はちゃんと援護できるので、存分に戦って下さい,,,,,,,,0,
39,talk,maki,left,みんな...ありがとう！,,,,,,,,0,
40,talk,yukari,left,少しは勝機が見えましたね！,,,,,,,,0,
41,talk,yukari,left,これが本当に最後の戦いになるでしょう,,,,,,,,0,
42,talk,yukari,left,全力を出し切りましょう！,,,,,,,,0,
43,talk,maki,left,おー！,,,,,,,,0,
44,support_on,,,,,,,,,,,1,
45,out,kiritan,right,,,,,,,,,1,
46,out,zunko,right,,,,,,,,,1,
47,out,itako,right,,,,,,,,,1,
48,out,left_akane,left,,,,,,,,,1,
49,out,left_aoi,left,,,,,,,,,1,
50,out,frimomen,right,,,,,,,,,1,
51,out,maki,left,,,,,,,,,1,
52,out,yukari,left,,,,,,,,,1,
53,start_last_boss_battle,,,Ending,,,,,,,,0,
