id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,frimomen,right,,frimomen_dark,,,,,,,1,
2,instantiate,yukari,left,,,,,,,,,1,
3,instantiate,maki,left,,,,,,,,,1,
4,talk,yukari,left,い...一体何が...?!,,,,,,,,0,
5,talk,maki,left,フリモメンさんが...!,,,,,,,,0,
6,talk,frimomen,right,ククク...,,,,,,,,0,
7,talk,frimomen,right,どうやらあいつはしくじったか...,,,,,,,,0,
8,talk,maki,left,あいつ...？,,,,,,,,0,
9,talk,yukari,left,,,,,,,,,0,
10,talk,frimomen,right,,,,,,,,,0,
11,talk,frimomen,right,,,,,,,,,0,
12,talk,frimomen,right,,,,,,,,,0,
13,talk,frimomen,right,,,,,,,,,0,
14,talk,frimomen,right,,,,,,,,,0,
15,talk,frimomen,right,ちょっと心の隙を突いたら簡単に潜り込めたぜ,,,,,,,,0,
16,talk,yukari,left,！！,,,,,,,,0,
17,talk,maki,left,様子がおかしい！,,,,,,,,0,
18,talk,frimomen,right,ガアアアアアアッ！！！,,,,,,,,0,
19,flash,,,,,,,,,,,1,
20,wait,,,1,,,,,,,,0,
21,scene_change,,,stage6-F2,,,,,,,,0,
