id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,right_yukari,right,,,,,,,,,1,
2,talk,right_yukari,right,最終地点ってわりには\n特になんにも無いんですねぇ,,normal,normal,o,,,,0,
3,instantiate,maki,left,,,,,,,,,1,
4,talk,maki,left,そうだね、どうしてここをゴールにしたんだろ？,,normal,normal,o,,,,0,
5,talk,right_yukari,right,まー、もともと\n粗の多い企画でしたし、\nきっと深い意味は\n無いでしょう,,normal,close,omega,,,,0,
6,talk,right_yukari,right,それに、何かあるにしても\nこの後すぐに明らかに\nなりますよ,,normal,half_open,nisisi,,,,0,
7,talk,maki,left,ここで決着が\nつくわけだからね！,,normal,smile,laugh,,,,0,
8,talk,maki,left,...,,normal,close,omega,,,,0,
9,talk,right_yukari,right,...,,normal,close,omega,,,,0,
10,talk,right_yukari,right,さて...\nではそろそろ,,anger,close,nisisi,,,,0,
11,play_bgm,,,boss_yukari,,,,,,,,1,
12,talk,right_yukari,right,始めるとしますか！,,anger,normal,laugh,,,,0,
13,talk,maki,left,いくぞ！,,anger,normal,gaa,,,,0,
14,out,maki,left,,,,,,,,,1,
15,out,right_yukari,right,,,,,,,,,1,
16,start_boss_battle,,,stage6_boss_result_m,,,,,,,,0,
