id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,yukari,left,,,anger,normal,laugh,,,,1,
2,instantiate,maki,left,,,normal,normal,omega,,,,1,
3,talk,yukari,left,ようし！\n準備は良いですか？,,,,,,,,0,yukari-5
4,talk,maki,left,バッチリ！,,normal,smile,laugh,,,,0,maki-3
5,talk,yukari,left,ゴール地点は結構遠い\nようなので、じっくり\n踏破していきましょう,,anger,close,omega,,,,0,yukari-6
6,talk,maki,left,道中他の人からの妨害にも\n注意していかないとね,,anger,normal,o,,,,0,maki-4
7,talk,yukari,left,その時は返り討ちにしてやりましょう！,,anger,normal,laugh,,,,0,yukari-7
8,talk,maki,left,オッケー！\nそれじゃあ出発ー！,,normal,smile,laugh,,,,0,maki-5
9,talk,yukari,left,おー！,,normal,normal,laugh,,,,0,yukari-8
10,out,yukari,left,,,,,,,,,1,
11,out,maki,left,,,,,,,,,1,
12,end,,,,,,,,,,,0,
